Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
"Hello?","Clairo","diary 001","favs","Playlist","US4HB1800005","502774642"
"Black Plant","The Last Shadow Puppets","The Age Of The Understatement","favs","Playlist","GBCEL0800162","4315525"
"For the First Time","Mac DeMarco","This Old Dog","favs","Playlist","QMMZN1701301","347015791"
"SHC","Foster The People","Sacred Hearts Club","favs","Playlist","USSM11703987","384053101"
"Winter Bird","AURORA","All My Demons Greeting Me As A Friend (Deluxe)","favs","Playlist","GBUM71502915","120738714"
"Vazdusan djon","BIGru i Paja Kratak","Šta ima braćo gde ste?!","favs","Playlist","BAA052012864","980265622"
"Sva su raja","Elvis J. Kurtovich & His Meteors","Da Bog Da Crk'o Rok'N'Rol","favs","Playlist","RSA0G1703787","464436452"
"tell me a joke","Quadeca","I Didn't Mean To Haunt You","favs","Playlist","QMDA62273538","1996659747"
"Soulmate","Mac Miller","The Divine Feminine","favs","Playlist","USWB11601439","131391764"
"Secret Door","Arctic Monkeys","Humbug","favs","Playlist","GBCEL0900445","4315580"
"Sanja","Alisa","Best of","favs","Playlist","BAA052009008","1078898162"
"Reka","Tap 011","Srpski hitovi devedesetih - Serbian 90's Dance Mix vol2","favs","Playlist","RSA131352809","70035505"
"Pursuit Of Happiness (Nightmare)","Kid Cudi","Man On The Moon: The End Of Day (Int'l Version)","favs","Playlist","USUM70981907","4232304"
"Feels Like We Only Go Backwards","Tame Impala","Lonerism","favs","Playlist","AUUM71200493","60765507"
"Only Ones Who Know","Arctic Monkeys","Favourite Worst Nightmare","favs","Playlist","GBCEL0700068","4315383"
"Om","Nehruviandoom","NEHRUVIANDOOM","favs","Playlist","GBMYF1400024","1597907292"
"Omadjijala","Devito","Omadjijala","favs","Playlist","RSA222091541","1725853207"
"Obična Ljubavna Pjesma","Aerodrom","Greatest Hits Collection","favs","Playlist","HRA048234069","1174376332"
"No. 1 Party Anthem","Arctic Monkeys","AM","favs","Playlist","GBCEL1300367","70322136"
"No Surprises","Radiohead","No Surprises","favs","Playlist","GBAYE9700386","138539157"
"Melting","Kali Uchis","Por Vida","favs","Playlist","QM8DG1400266","2046398187"
"Love Is Only a Feeling","Joey Bada$$","Love Is Only a Feeling","favs","Playlist","QMKSC1700112","908937382"
"Limun & Lajm","Kendi","Limun & Lajm","favs","Playlist","NOAPI1692059","596860192"
"Kruziram Opušteno Po Gradu","BIGru i Paja Kratak","Rep Kaki Volem","favs","Playlist","NOAPI1890697","583824672"
"Kabriolet","z++","18++","favs","Playlist","FR10S2067103","887946272"
"Is It True","Tame Impala","The Slow Rush","favs","Playlist","AUUM71900933","872345342"
"Heart Of Glass (Single Version / Remastered)","Blondie","Heart Of Glass","favs","Playlist","USCH39800018","3121608"
"Fluorescent Adolescent","Arctic Monkeys","Favourite Worst Nightmare","favs","Playlist","GBCEL0700067","4315382"
"Crocodile Rock","Elton John","Music For Seventies","favs","Playlist","GBAMB7200001","907749"
"Eventually","Tame Impala","Currents","favs","Playlist","AUUM71500296","103052658"
"Dirty Harry","Gorillaz","Demon Days","favs","Playlist","GBAYE0402431","3129406"
"Deja Vu","Naïka","Deja Vu","favs","Playlist","DEUM71903189","720619022"
"Đir","HIGH5","Backstageboys","favs","Playlist","QZ5AB1905173","482372502"
"Dancing Shoes","Arctic Monkeys","Whatever People Say I Am, That's What I'm Not","favs","Playlist","GBCEL0501183","4315312"
"Cornerstone","Arctic Monkeys","Humbug","favs","Playlist","GBCEL0900448","4315583"
"Cinderella (feat. Ty Dolla $ign)","Mac Miller","The Divine Feminine","favs","Playlist","USWB11601437","131391760"
"Calm Like You","The Last Shadow Puppets","The Age Of The Understatement","favs","Playlist","GBCEL0800157","4315520"
"Break My Stride","Matthew Wilder","I Don't Speak The Language","favs","Playlist","USSM18300576","5503498"
"Black Treacle","Arctic Monkeys","Suck It and See","favs","Playlist","GBCEL1100193","12713704"
"Lane Boy","Twenty One Pilots","Blurryface","favs","Playlist","USAT21500599","99976960"
"Four Out Of Five","Arctic Monkeys","Tranquility Base Hotel & Casino","favs","Playlist","GBCEL1800169","497736992"
"Fratello","Aerodrom","Flash Back 1979-1986","favs","Playlist","HRA040634068","32684841"
"505","Arctic Monkeys","Favourite Worst Nightmare","favs","Playlist","GBCEL0700074","4315389"
"Passing Out Pieces","Mac DeMarco","Salad Days","favs","Playlist","QMMZN1300566","76008446"
"Mirage","Alexandra Savior","Mirage","favs","Playlist","USSM11509738","141341237"
"The Adults Are Talking","The Strokes","The New Abnormal","favs","Playlist","USRC11902726","921027292"
"Tranz","Gorillaz","The Now Now","favs","Playlist","GBAYE1800408","517538262"
"Stuck on the puzzle","Alex Turner","Submarine - Original Songs From The Film By Alex Turner","favs","Playlist","GBCEL1100045","10064650"
"Piledriver waltz","Alex Turner","Submarine - Original Songs From The Film By Alex Turner","favs","Playlist","GBCEL1100046","10064651"
"Patience","Tame Impala","Patience","favs","Playlist","AUUM71900284","652175262"
"The Meeting Place","The Last Shadow Puppets","The Age Of The Understatement","favs","Playlist","GBCEL0800165","4315528"
"Telescope","Cage The Elephant","Melophobia","favs","Playlist","USRC11301162","70800605"
"WHAT KIND OF RAPPIN' IS THIS?","JPEGMAFIA","LP!","favs","Playlist","USUM72119664","1525464762"
"A Certain Romance","Arctic Monkeys","Whatever People Say I Am, That's What I'm Not","favs","Playlist","GBCEL0501192","4315321"
"Zipcodes","Joey Bada$$","2000","favs","Playlist","USQX92203079","1830938107"
"One Point Perspective","Arctic Monkeys","Tranquility Base Hotel & Casino","favs","Playlist","GBCEL1800165","497736952"
"Lover Is a Day","Cuco","wannabewithu","favs","Playlist","USHM21643447","1857527817"
"Euforija","Buč Kesidi","Euforija","favs","Playlist","RSA1X1900207","2042455227"
"Never Let Me Down Again","Depeche Mode","The Singles 86-98","favs","Playlist","GBAJH9800141","68515052"
"Melting","Kali Uchis","Por Vida","favs","Playlist","QM8DG1400266","118731444"
"The Jeweller's Hands","Arctic Monkeys","Humbug","favs","Playlist","GBCEL0900451","4315586"
"Call It Fate, Call It Karma","The Strokes","Comedown Machine","favs","Playlist","USRC11300085","65440519"
"Lovers Rock","TV Girl","French Exit","favs","Playlist","USHM21438143","1751426027"
"Mardy Bum","Arctic Monkeys","Whatever People Say I Am, That's What I'm Not","favs","Playlist","GBCEL0501188","4315317"
"Cherry Wine","Grentperez","Cherry Wine","favs","Playlist","GBKPL2162171","1878153277"
"Call of the Grito","That Mexican OT","Call of the Grito","favs","Playlist","QZES52133319","1912986387"
"See You Again (feat. Kali Uchis)","Tyler, The Creator","Flower Boy","favs","Playlist","USQX91701275","384157591"
"Good Looking","Suki Waterhouse","Good Looking","favs","Playlist","QZ9Y21712533","1747247357"
"Good News","Mac Miller","Good News","favs","Playlist","USWB11801008","846978292"
"Not A Beanie","Connor Price","Not A Beanie","favs","Playlist","QZES62311649","2171834327"
